period_end,org_code,org_name,nhse_region_code,nhse_region_name,ics_code,staff_group,leavers_hc,joiners_hc,denom_start_hc,denom_end_hc,leavers_fte,denom_end_fte,leaver_rate
202308,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,13.0,15.0,,1509.0,11.19333,1341.55786,0.008614976805831677
202308,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",29.0,24.0,,1667.0,21.4,1357.69989,0.01739652069586083
202308,RBV,Christie NHS Foundation Trust,Y62,North West,QOP,Nurses & health visitors,13.0,6.0,,845.0,13.0,774.29734,0.015384615384615385
202308,RBV,Christie NHS Foundation Trust,Y62,North West,QOP,"Support to doctors, nurses & midwives",7.0,17.0,,743.0,6.8,674.69067,0.009421265141318977
202308,RC9,Bedfordshire Hospitals NHS Foundation Trust,Y61,East of England,QHG,Nurses & health visitors,21.0,16.0,,2310.0,17.58666,2142.57251,0.00909090909090909
202308,RC9,Bedfordshire Hospitals NHS Foundation Trust,Y61,East of England,QHG,"Support to doctors, nurses & midwives",28.0,85.0,,2174.0,25.41333,1920.91597,0.012879484820607176
202308,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Y63,North East and Yorkshire,QOQ,Nurses & health visitors,16.0,12.0,,2266.0,12.02667,1977.0192,0.00706090026478376
202308,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Y63,North East and Yorkshire,QOQ,"Support to doctors, nurses & midwives",45.0,68.0,,2633.0,33.23333,2178.66658,0.017090770983668818
202308,RCD,Harrogate and District NHS Foundation Trust,Y63,North East and Yorkshire,QOQ,Nurses & health visitors,11.0,7.0,,1849.0,9.55333,1558.00494,0.005949161709031909
202308,RCD,Harrogate and District NHS Foundation Trust,Y63,North East and Yorkshire,QOQ,"Support to doctors, nurses & midwives",16.0,31.0,,1401.0,13.20666,1146.3064,0.011420413990007138
202308,RCF,Airedale NHS Foundation Trust,Y63,North East and Yorkshire,QWO,Nurses & health visitors,9.0,8.0,,832.0,6.86668,729.26812,0.010817307692307692
202308,RCF,Airedale NHS Foundation Trust,Y63,North East and Yorkshire,QWO,"Support to doctors, nurses & midwives",5.0,9.0,,889.0,4.64,731.35168,0.00562429696287964
202308,RCU,Sheffield Children's NHS Foundation Trust,Y63,North East and Yorkshire,QF7,Nurses & health visitors,6.0,3.0,,1079.0,5.14,921.80546,0.005560704355885079
202308,RCU,Sheffield Children's NHS Foundation Trust,Y63,North East and Yorkshire,QF7,"Support to doctors, nurses & midwives",13.0,13.0,,1100.0,8.76,869.67744,0.011818181818181818
202308,RCX,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Y61,East of England,QMM,Nurses & health visitors,22.0,10.0,,981.0,19.85333,901.05997,0.022426095820591234
202308,RCX,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Y61,East of England,QMM,"Support to doctors, nurses & midwives",22.0,23.0,,1148.0,17.89332,963.79515,0.01916376306620209
202308,RD1,Royal United Hospitals Bath NHS Foundation Trust,Y58,South West,QOX,Nurses & health visitors,13.0,13.0,,1782.0,10.49333,1555.23352,0.007295173961840628
202308,RD1,Royal United Hospitals Bath NHS Foundation Trust,Y58,South West,QOX,"Support to doctors, nurses & midwives",32.0,48.0,,1472.0,27.33333,1229.92558,0.021739130434782608
202308,RD8,Milton Keynes University Hospital NHS Foundation Trust,Y61,East of England,QHG,Nurses & health visitors,11.0,15.0,,1102.0,9.04,961.75998,0.009981851179673321
202308,RD8,Milton Keynes University Hospital NHS Foundation Trust,Y61,East of England,QHG,"Support to doctors, nurses & midwives",10.0,8.0,,1003.0,8.10666,864.45859,0.009970089730807577
202308,RDE,East Suffolk and North Essex NHS Foundation Trust,Y61,East of England,QJG,Nurses & health visitors,24.0,17.0,,3284.0,19.85332,2882.94136,0.007308160779537149
202308,RDE,East Suffolk and North Essex NHS Foundation Trust,Y61,East of England,QJG,"Support to doctors, nurses & midwives",28.0,37.0,,2809.0,22.42667,2327.42924,0.009967960128159488
202308,RDR,Sussex Community NHS Foundation Trust,Y59,South East,QNX,Nurses & health visitors,22.0,14.0,,1625.0,17.66666,1336.88911,0.01353846153846154
202308,RDR,Sussex Community NHS Foundation Trust,Y59,South East,QNX,"Support to doctors, nurses & midwives",25.0,41.0,,1622.0,18.89333,1321.2315,0.015413070283600493
202308,RDU,Frimley Health NHS Foundation Trust,Y59,South East,QNQ,Nurses & health visitors,24.0,15.0,,2958.0,22.05333,2737.82554,0.008113590263691683
202308,RDU,Frimley Health NHS Foundation Trust,Y59,South East,QNQ,"Support to doctors, nurses & midwives",22.0,24.0,,2005.0,18.25734,1785.55353,0.010972568578553617
202308,RDY,Dorset Healthcare University NHS Foundation Trust,Y58,South West,QVV,Nurses & health visitors,14.0,14.0,,1819.0,10.73672,1493.151,0.007696536558548653
202308,RDY,Dorset Healthcare University NHS Foundation Trust,Y58,South West,QVV,"Support to doctors, nurses & midwives",23.0,30.0,,1991.0,18.90667,1595.06147,0.011551983927674536
202308,REF,Royal Cornwall Hospitals NHS Trust,Y58,South West,QT6,Nurses & health visitors,19.0,14.0,,1620.0,14.97334,1400.82753,0.011728395061728396
202308,REF,Royal Cornwall Hospitals NHS Trust,Y58,South West,QT6,"Support to doctors, nurses & midwives",36.0,27.0,,1645.0,30.94666,1418.61172,0.02188449848024316
202308,REM,Liverpool University Hospitals NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,33.0,39.0,,3944.0,31.16,3634.36215,0.008367139959432049
202308,REM,Liverpool University Hospitals NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",38.0,98.0,,3688.0,32.07999,3218.85253,0.010303687635574838
202308,REN,Clatterbridge Cancer Centre NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,6.0,4.0,,459.0,5.92,431.13333,0.013071895424836602
202308,REN,Clatterbridge Cancer Centre NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",9.0,3.0,,463.0,7.24,409.8227,0.019438444924406047
202308,REP,Liverpool Women's NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,3.0,4.0,,456.0,2.6,405.77328,0.006578947368421052
202308,REP,Liverpool Women's NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",9.0,6.0,,404.0,8.16,344.56658,0.022277227722772276
202308,RET,Walton Centre NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,2.0,3.0,,426.0,1.8,389.72456,0.004694835680751174
202308,RET,Walton Centre NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",8.0,4.0,,322.0,6.72,280.53671,0.024844720496894408
202308,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Y56,London,QMF,Nurses & health visitors,17.0,11.0,,2157.0,15.14666,2015.20392,0.007881316643486324
202308,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Y56,London,QMF,"Support to doctors, nurses & midwives",25.0,77.0,,2184.0,22.1,1983.31913,0.011446886446886446
202308,RFF,Barnsley Hospital NHS Foundation Trust,Y63,North East and Yorkshire,QF7,Nurses & health visitors,8.0,3.0,,1149.0,6.72,1028.5815,0.006962576153176675
202308,RFF,Barnsley Hospital NHS Foundation Trust,Y63,North East and Yorkshire,QF7,"Support to doctors, nurses & midwives",17.0,16.0,,1218.0,13.26,1025.93523,0.013957307060755337
